dir,numBytesSnt,minPktSz,stdIAT,ipMindIPID,ipMaxTTL,tcpPSeqCnt,tcpInitWinSz,tcpAveWinSz,tcpMSS,tcpWS,tcpRTTAckTripMax,entropy,class
A,1008,0,0.016373,0,64,9,3737600,27979.36,1460,128,0.086504,3.8665,0
B,7528,0,0.023383,1,122,13,16776960,490276.1,1440,256,0.028685,3.8918,0
A,0,0,0,65535,64,0,0,0,0,1,0.000015,0,0
B,38,38,0,65535,121,1,1022,1022,0,1,0,3.6217,0
A,868,0,0.008861,0,64,5,3737600,117473.9,1460,128,0.016267,3.4517,0
B,4187,0,0.01216,1,54,7,3706880,463324.6,1460,128,0.0244,3.8944,0
A,900,0,0.009943,0,64,7,3737600,65870.54,1460,128,0.029923,3.4446,0
B,7528,0,0.011411,1,122,11,16776960,728411.8,1440,256,0.028897,3.8941,0
A,900,0,0.011067,0,64,10,3737600,22662.45,1460,128,0.031008,3.4393,0
B,7528,0,0.014275,1,122,15,16776960,373910.1,1440,256,0.02881,3.8609,0
A,1325,0,0.047869,0,64,8,3737600,39104.82,1460,128,0.225388,3.2334,0
B,4874,0,0.053385,1,56,11,33553920,1091779,1460,512,0.016427,3.999,0
A,0,0,0,65535,64,0,0,0,0,1,0.000018,0,0
B,38,38,0,65535,121,1,1023,1023,0,1,0,3.4441,0
A,0,0,0,65535,64,0,0,0,0,1,0.000019,0,0
B,38,38,0,65535,121,1,1023,1023,0,1,0,3.4903,0
A,900,0,0.010828,0,64,8,3737600,50531.8,1460,128,0.013347,3.4387,0
B,7528,0,0.012248,1,122,12,16776960,588460.9,1440,256,0.028702,3.8919,0
A,0,0,0,65535,64,0,0,0,0,1,0.00002,0,0
B,38,38,0,65535,121,1,1023,1023,0,1,0,3.4978,0
A,900,0,0.010726,0,64,7,3737600,66533.97,1460,128,0.020348,3.4444,0
B,7807,0,0.01279,1,122,11,16776960,728411.8,1440,256,0.029087,3.9001,0
A,0,0,0,65535,64,0,0,0,0,1,0.000016,0,0
B,38,38,0,65535,121,1,1023,1023,0,1,0,3.5059,0
A,835,0,0.006064,0,64,6,3737600,61438.87,1460,128,0.003198,3.3927,0
B,7016,0,0.006415,1,58,9,14827520,884021.7,1460,512,0.016907,3.8597,0
A,835,0,0.006103,0,64,8,3737600,72486.09,1460,128,0.004252,3.374,0
B,7016,0,0.006773,1,58,9,14827520,883916.4,1460,512,0.016666,3.8602,0
A,868,0,0.009276,0,64,7,3737600,64364.61,1460,128,0.016112,3.4366,0
B,4187,0,0.011914,1,54,9,3706880,242818.3,1460,128,0.024162,3.8954,0
A,868,0,0.008692,0,64,5,3737600,117473.9,1460,128,0.018334,3.4095,0
B,4187,0,0.012501,1,54,7,3706880,463324.6,1460,128,0.024771,3.895,0
A,868,0,0.008667,0,64,6,3737600,60268.36,1460,128,0.022778,3.4522,0
B,4187,0,0.013817,1,54,9,3706880,242818.3,1460,128,0.024608,3.8971,0
A,868,0,0.012966,0,64,6,3737600,85746.92,1460,128,0.050174,3.4353,0
B,3235,0,0.023099,1,57,7,3706880,463324.6,1460,128,0.036297,3.8452,0
