dir,numBytesSnt,minPktSz,stdIAT,ipMindIPID,ipMaxTTL,tcpPSeqCnt,tcpInitWinSz,tcpAveWinSz,tcpMSS,tcpWS,tcpRTTAckTripMax,entropy,class
A,1194,0,0.024948,0,64,19,3737600,60288.65,1460,128,0.167232,3.6288,0
B,47184,0,0.036312,1,54,25,3706880,32959.19,1460,128,0.024561,3.9372,0
A,1041,0,0.163741,0,64,7,3737600,64151.36,1460,128,0.67608,3.6033,0
B,4034,0,0.22431,1,225,8,6872832,594740.6,1460,256,0.09813,3.9177,0
A,1661,0,0.039041,0,64,6,3737600,123584.7,1460,128,0.028488,3.8292,0
B,5868,0,0.038669,1,230,7,6872832,836639.1,1460,256,0.084185,3.9525,0
A,77,0,0.000046,1,64,3,924,924,0,1,0.00024,3.5275,0
B,31,0,0.008785,1,54,2,254,177.8,0,1,0.022606,3.8101,0
A,792,0,0.015938,0,64,5,3737600,167787.9,1460,128,0.021484,3.4398,0
B,4378,0,0.016035,2,122,6,15409152,2641452,1380,256,0.055714,3.999,0
A,792,0,0.015919,0,64,5,3737600,167787.9,1460,128,0.020716,3.4182,0
B,4377,0,0.015954,2,122,6,15409152,2641452,1380,256,0.055405,3.998,0
A,792,0,0.015888,0,64,6,3737600,86075.27,1460,128,0.019496,3.4439,0
B,4377,0,0.017095,1,122,8,15409152,1326063,1380,256,0.055313,3.9982,0
A,517,0,0.01252,0,64,1,3737600,637614.8,1460,128,0.023789,2.9447,0
B,3783,0,0.011484,3,122,4,15409152,5325705,1380,256,0.035246,3.9986,0
A,1167,0,0.085217,1,64,11,3737600,68201.14,1460,128,0.33906,3.5468,0
B,4313,0,0.096746,1,122,11,15409152,496904.8,1380,256,0.05047,3.9982,0
A,1432,0,0.098785,1,64,14,3737600,82959.95,1460,128,0.484583,3.7521,0
B,19374,0,0.11816,1,246,15,7413760,67230.59,1460,256,0.106687,3.9282,0
A,3337,0,0.037846,1,64,54,3737600,45772.93,1460,128,0.139237,3.9105,0
B,5063,0,0.031599,1,122,78,15409152,64000,1380,256,0.166553,3.9917,0
A,792,0,0.019445,1,64,9,3737600,110818.2,1460,128,0.054106,3.4212,0
B,3630,0,0.025951,1,122,7,15409152,1867756,1380,256,0.056058,3.9986,0
A,792,0,0.017806,1,64,7,3737600,188024.7,1460,128,0.002892,3.417,0
